DESIG,Name,Geometry Area (km2),Percentage_Tree_Cover,Percentage_Shrubland,Percentage_Grassland,Percentage_Cropland,Percentage_Built-up,Percentage_Bare_Sparse_Vegetation,Percentage_Snow_and_Ice,Percentage_Permanent_Water_body,Percentage_Herbaceous_Wetland,Percentage_Mangrove,Percentage_Moss_and_Lichen,Total Valid Pixel Count,Geometry Area (ha),Description
Parque Nacional,Arrecife Alacranes,1079.745,0,0,0,0,0,0,0,99.99,0,0,0,12526635,107974.5,
Parque Nacional,Arrecife de Puerto Morelos,928.8809,0,0,0.07,0,0.03,0.28,0,99.61,0,0,0,5754893,92888.09,
Parque Nacional,Arrecifes de Cozumel,3446.4459,0.05,0,0.52,0,0.09,0.38,0,98.96,0.01,0,0,44996451,344644.59,
Parque Nacional,Arrecifes de Xcalak,281.239,3.04,0,0.64,0,0.02,0.01,0,80.62,0.33,15.34,0,3755263,28123.9,
Parque Nacional,Bahía de Loreto,12.9737,0.02,5.94,0.11,0,0,4.58,0,89.35,0,0,0,161459,1297.37,
Parque Nacional,Barranca del Cupatitzio,3035.8006,99.43,0,0.53,0,0.05,0,0,0,0,0,0,37085281,303580.06,
Parque Nacional,Benito Juárez,118.5859,97.29,1.83,0.89,0,0,0,0,0,0,0,0,1439801,11858.59,
Parque Nacional,Bosencheve,2.0316,43.31,0.02,18.79,35.98,1.33,0.07,0,0.5,0,0,0,25448,203.16,
Parque Nacional,Cabo Pulmo,908.0672,0.02,0.24,0.06,0,0.04,1.16,0,98.48,0,0,0,11810412,90806.72,
Parque Nacional,Cañón del Río Blanco,0.0099,59.72,18.19,6.59,6.38,8.93,0.18,0,0.02,0,0,0,125,0.99,
Parque Nacional,Cañón del Sumidero,0.0066,52.22,11.17,23.41,0.09,7.36,0.06,0,5.7,0,0,0,79,0.66,
Parque Nacional,Cascada de Bassaseachic,22.5978,73.95,17.26,8.44,0.11,0.05,0.1,0,0.08,0,0,0,278779,2259.78,
Parque Nacional,Cerro de Garnica,842.3794,97.83,0.18,1.98,0,0.01,0,0,0,0,0,0,7264229,84237.94,
