Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_Tree_Cover,Area_10_ha,Area_10_km2,Count_20,Percentage_Shrubland,Area_20_ha,Area_20_km2,Count_30,Percentage_Grassland,Area_30_ha,Area_30_km2,Count_40,Percentage_Cropland,Area_40_ha,Area_40_km2,Count_50,Percentage_Built-up,Area_50_ha,Area_50_km2,Count_60,Percentage_Bare_Sparse_Vegetation,Area_60_ha,Area_60_km2,Count_70,Percentage_Snow_and_Ice,Area_70_ha,Area_70_km2,Count_80,Percentage_Permanent_Water_body,Area_80_ha,Area_80_km2,Count_90,Percentage_Herbaceous_Wetland,Area_90_ha,Area_90_km2,Count_95,Percentage_Mangrove,Area_95_ha,Area_95_km2,Count_100,Percentage_Moss_and_Lichen,Area_100_ha,Area_100_km2,Description_x,Description_y
La Montaña Malinche o Matlalcuéyatl,Parque Nacional,462.771087788876,Federal or national ministry or agency,,5708003,3403128,7353.8,34031.28,340.3128,109303,236.19,1093.03,10.9303,837392,1809.52,8373.92,83.7392,1246537,2693.64,12465.37,124.6537,95113,205.53,951.13,9.5113,16327,35.28,163.27,1.6327,0,0.0,0.0,0.0,203,0.44,2.03,0.0203,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional La Montaña Malinche, con una extensión de 462.77 km², presenta un gradiente altitudinal que alberga bosques de pino-encino y pastizales alpinos. Los datos de cobertura indican que el 73.53% corresponde a cobertura arbórea, evidenciando una importante masa forestal, aunque fragmentada por actividades humanas.

La principal problemática de conservación radica en la expansión agrícola irregular, que ocupa el 26.93% del territorio, y la presencia de asentamientos humanos no regulados que ocupan un 2.05% del área. Se observa una degradación significativa en las zonas de transición entre el bosque y las áreas agrícolas, con procesos erosivos que amenazan la integridad ecosistémica."
Iztaccíhuatl-Popocatépetl,Parque Nacional,399.704827636888,Federal or national ministry or agency,,4931073,3526723,8823.32,35267.23,352.6723,7745,19.38,77.45,0.7745,806947,2018.86,8069.47,80.6947,7224,18.07,72.24,0.7224,7480,18.71,74.8,0.748,570945,1428.42,5709.45,57.0945,3460,8.66,34.6,0.346,539,1.35,5.39,0.0539,10,0.03,0.1,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El complejo volcánico Iztaccíhuatl-Popocatépetl abarca 399.70 km² de superficie protegida, caracterizado por ecosistemas de alta montaña que incluyen bosques de coníferas (88.23% de cobertura arbórea) y praderas alpinas. La presencia de glaciares y nieves perpetuas (0.08% del área) constituye un elemento único de especial importancia para la regulación hídrica regional.

Los principales desafíos de conservación incluyen el impacto del cambio climático sobre los glaciares, la presión turística no regulada y la expansión de la frontera agrícola (0.18% del territorio). Se observa una degradación significativa en las zonas de acceso público y problemas de erosión en las áreas de alta montaña expuestas a actividades recreativas no controladas."
Pico de Orizaba,Parque Nacional,198.046826455158,Federal or national ministry or agency,,2440345,1012469,5112.27,10124.69,101.2469,28188,142.33,281.88,2.8188,826682,4174.17,8266.82,82.6682,62667,316.43,626.67,6.2667,1259,6.36,12.59,0.1259,480367,2425.52,4803.67,48.0367,28198,142.38,281.98,2.8198,515,2.6,5.15,0.0515,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Pico de Orizaba, con 198.04 km² de extensión, alberga el punto más alto de México. La cobertura vegetal muestra un 51.12% de bosque, principalmente de coníferas, y un significativo 24.25% de zonas con vegetación escasa debido a las condiciones de alta montaña y la presencia de material volcánico.

La problemática de conservación se centra en el retroceso de los glaciares, que actualmente ocupan solo un 1.42% del área, y la presión por el cambio de uso de suelo para agricultura (3.16% del territorio). Se identifican procesos de degradación en las zonas de amortiguamiento y conflictos por el uso de recursos hídricos en las partes bajas."
Bosencheve,Parque Nacional,146.499066488126,Federal or national ministry or agency,,1809347,783673,5349.34,7836.73,78.3673,327,2.23,3.27,0.0327,339997,2320.81,3399.97,33.9997,650936,4443.28,6509.36,65.0936,24125,164.68,241.25,2.4125,1257,8.58,12.57,0.1257,0,0.0,0.0,0.0,9032,61.65,90.32,0.9032,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Bosencheve comprende 146.49 km² de territorio protegido, dominado por bosques templados que representan el 53.49% de su superficie. El área presenta un importante sistema hidrológico con cuerpos de agua que ocupan el 0.61% del territorio, crucial para el abastecimiento regional.

Los principales retos de conservación incluyen la fragmentación del hábitat por actividades agrícolas que ocupan el 44.43% del área, y la presencia de asentamientos irregulares (1.64% del territorio). Se observa una degradación significativa de los servicios ecosistémicos y pérdida de conectividad ecológica entre fragmentos forestales."
Cofre de Perote o Nauhcampatépetl,Parque Nacional,115.637623439783,Federal or national ministry or agency,,1428724,919737,7953.61,9197.37,91.9737,8599,74.36,85.99,0.8599,324029,2802.11,3240.29,32.4029,154725,1338.02,1547.25,15.4725,11577,100.11,115.77,1.1577,9627,83.25,96.27,0.9627,0,0.0,0.0,0.0,430,3.72,4.3,0.043,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Cofre de Perote, con una superficie de 115.63 km², se caracteriza por sus bosques templados que cubren el 79.53% del área. Su ubicación estratégica en el Eje Neovolcánico Transversal lo convierte en un importante corredor biológico y regulador climático regional.

La problemática de conservación se centra en la expansión de la frontera agrícola (13.38% del territorio) y la presencia de asentamientos humanos (1.00% del área). Se identifican procesos de erosión significativos en las zonas de mayor pendiente y una creciente presión sobre los recursos hídricos por actividades productivas en la zona de influencia."
Lagunas de Chacahua,Parque Nacional,149.520192844667,Federal or national ministry or agency,,1811504,672793,4499.68,6727.93,67.2793,15902,106.35,159.02,1.5902,301630,2017.32,3016.3,30.163,54662,365.58,546.62,5.4662,10920,73.03,109.2,1.092,32285,215.92,322.85,3.2285,0,0.0,0.0,0.0,367711,2459.27,3677.11,36.7711,5362,35.86,53.62,0.5362,350239,2342.42,3502.39,35.0239,0,0.0,0.0,0.0,,"El Parque Nacional Lagunas de Chacahua abarca 149.52 km² de ecosistemas costeros, con una notable presencia de manglares (23.42% del área) y bosques tropicales (44.99%). El sistema lagunar costero, que representa el 24.59% del territorio, es fundamental para la conservación de especies acuáticas y aves migratorias.

Los principales desafíos de conservación incluyen la modificación del régimen hidrológico por actividades antropogénicas, la presión turística no regulada y la expansión de actividades agrícolas (3.65% del territorio). Se observa una degradación significativa de los manglares y problemas de sedimentación en el sistema lagunar."
Lagunas de Montebello,Parque Nacional,64.349626379712,Federal or national ministry or agency,,780051,597362,9283.07,5973.62,59.7362,949,14.75,9.49,0.0949,49683,772.08,496.83,4.9683,7290,113.29,72.9,0.729,5754,89.42,57.54,0.5754,299,4.65,2.99,0.0299,0,0.0,0.0,0.0,118704,1844.67,1187.04,11.8704,10,0.16,0.1,0.001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Lagunas de Montebello, con 64.34 km² de extensión, se distingue por su sistema de lagos cársticos que ocupan el 18.44% del área y sus bosques templados que cubren el 92.83% del territorio. La singularidad de sus cuerpos de agua de diferentes tonalidades lo convierte en un sitio de excepcional valor paisajístico y ecológico.

La problemática de conservación incluye la eutrofización de los lagos por actividades agrícolas (1.13% del área), la deforestación en zonas de recarga hídrica y la presión turística no regulada. Se identifican procesos de degradación en la calidad del agua y pérdida de cobertura forestal en zonas críticas."
Constitución de 1857,Parque Nacional,50.144399390135,Federal or national ministry or agency,,689095,58308,1162.8,583.08,5.8308,527754,10524.68,5277.54,52.7754,51201,1021.07,512.01,5.1201,678,13.52,6.78,0.0678,92,1.83,0.92,0.0092,50901,1015.09,509.01,5.0901,0,0.0,0.0,0.0,161,3.21,1.61,0.0161,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Constitución de 1857 comprende 50.14 km² de ecosistemas de montaña, caracterizado por bosques de coníferas (11.62%) y extensas zonas de matorral (105.24%). Su ubicación estratégica en la Sierra de Juárez lo convierte en un importante refugio para especies endémicas.

Los principales retos de conservación incluyen la fragmentación del hábitat por incendios forestales, la presencia de especies invasoras y la presión ganadera extensiva. Se observa una degradación significativa en las zonas de uso público y problemas de erosión en áreas de pendiente pronunciada."
Lagunas de Zempoala,Parque Nacional,45.7256695510775,Federal or national ministry or agency,,563487,541765,11848.16,5417.65,54.1765,566,12.38,5.66,0.0566,17171,375.52,171.71,1.7171,2361,51.63,23.61,0.2361,101,2.21,1.01,0.0101,6,0.13,0.06,0.0006,0,0.0,0.0,0.0,1484,32.45,14.84,0.1484,33,0.72,0.33,0.0033,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional Lagunas de Zempoala, con 45.72 km² de superficie, alberga un sistema de lagos de montaña que ocupan el 0.32% del área y bosques templados que cubren el 118.48% del territorio. Su importancia hidrológica es fundamental para la región del corredor biológico Ajusco-Chichinautzin.

La problemática de conservación se centra en la disminución del nivel de agua en las lagunas, la presión turística no controlada y la expansión de actividades agrícolas (0.51% del territorio). Se identifican procesos de degradación en la zona ribereña y alteraciones en el régimen hidrológico natural."
El Chico,Parque Nacional,27.4973891275028,Federal or national ministry or agency,,341261,327541,11911.71,3275.41,32.7541,6634,241.26,66.34,0.6634,3158,114.85,31.58,0.3158,605,22.0,6.05,0.0605,2733,99.39,27.33,0.2733,50,1.82,0.5,0.005,0,0.0,0.0,0.0,540,19.64,5.4,0.054,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,"El Parque Nacional El Chico abarca 27.49 km² de bosques templados, con una cobertura forestal del 119.11% dominada por bosques de oyamel y encino. Su ubicación en la Sierra de Pachuca lo convierte en un importante proveedor de servicios ecosistémicos para la región.

Los principales desafíos de conservación incluyen la presión turística no regulada, la extracción ilegal de recursos forestales y la presencia de asentamientos irregulares (0.99% del área). Se observa una degradación significativa en las zonas de uso público intensivo y problemas de erosión en senderos no planificados."
