Country,Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_10,Area_10_ha,Area_10_km2,Count_20,Percentage_20,Area_20_ha,Area_20_km2,Count_30,Percentage_30,Area_30_ha,Area_30_km2,Count_40,Percentage_40,Area_40_ha,Area_40_km2,Count_50,Percentage_50,Area_50_ha,Area_50_km2,Count_60,Percentage_60,Area_60_ha,Area_60_km2,Count_70,Percentage_70,Area_70_ha,Area_70_km2,Count_80,Percentage_80,Area_80_ha,Area_80_km2,Count_90,Percentage_90,Area_90_ha,Area_90_km2,Count_95,Percentage_95,Area_95_ha,Area_95_km2,Count_100,Percentage_100,Area_100_ha,Area_100_km2,Total_Percentage
Indonesia,Gunung Leuser,National Park,8700.95977638285,Federal or national ministry or agency,,101337758,99962239,98.64263920265535,999622.39,9996.2239,1793,0.0017693306378457675,17.93,0.1793,1271047,1.2542679304193802,12710.47,127.1047,13389,0.013212252041336851,133.89,1.3389,6444,0.006358932866858965,64.44,0.6444,49527,0.04887319492503475,495.27,4.9527,0,0.0,0.0,0.0,33092,0.032655153077296224,330.92,3.3092,227,0.0002240033769051808,2.27,0.0227,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Bukit Barisan Selatan,Taman Nasional,3156.60098345164,Federal or national ministry or agency,,37077117,36306884,97.92261895659256,363068.84,3630.6884,2,5.394162658331822e-06,0.02,0.0002,676795,1.825371158172843,6767.95,67.6795,29407,0.07931307064678195,294.07,2.9407,6696,0.01805965658009494,66.96,0.6696,5298,0.014289136881920997,52.98,0.5298,0,0.0,0.0,0.0,36273,0.09783123105283509,362.73,3.6273,911,0.002457041090870145,9.11,0.0911,14851,0.040054354819442944,148.51,1.4851,0,0.0,0.0,0.0,100.0
Indonesia,Berbak,Taman Nasional,1413.47479912924,Federal or national ministry or agency,,16540767,14515225,87.75424380259996,145152.25,1451.5225,770319,4.657093591850971,7703.19,77.0319,1104765,6.679043359960272,11047.65,110.4765,66492,0.4019886139500061,664.92,6.6492,108,0.0006529322370601073,1.08,0.0108,632,0.003820862720573961,6.32,0.0632,0,0.0,0.0,0.0,6386,0.03860764135060968,63.86,0.6386,72163,0.43627360206452337,721.63,7.2163,4677,0.028275593266019645,46.77,0.4677,0,0.0,0.0,0.0,99.99999999999999
Indonesia,Kutai,Taman Nasional,1926.34388062811,Federal or national ministry or agency,,21635959,20403934,94.30566031300023,204039.34,2040.3934,8106,0.03746540654842247,81.06,0.8106,431983,1.9965974237610637,4319.83,43.1983,23255,0.10748310255163639,232.55,2.3255,5686,0.026280323418989657,56.86,0.5686,1868,0.008633774911479541,18.68,0.1868,0,0.0,0.0,0.0,19843,0.09171305972617161,198.43,1.9843,2046,0.009456479373065922,20.46,0.2046,739238,3.416710116708947,7392.38,73.9238,0,0.0,0.0,0.0,100.0
Indonesia,Kerumutan,Suaka Margasatwa,946.94213345147,Federal or national ministry or agency,,7393393,7302119,98.76546532830055,73021.19,730.2119,9871,0.13351109564985927,98.71,0.9871,46583,0.6300625436792011,465.83,4.6583,2177,0.029445208715403064,21.77,0.2177,0,0.0,0.0,0.0,251,0.003394923007609632,2.51,0.0251,0,0.0,0.0,0.0,11588,0.15673453311625662,115.88,1.1588,20804,0.2813863675311187,208.04,2.0804,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Bali Barat,Taman Nasional,180.463592177362,Federal or national ministry or agency,,2132195,1563716,73.3383203693846,15637.16,156.3716,2,9.380005112102786e-05,0.02,0.0002,15444,0.7243239947565772,154.44,1.5444,2053,0.09628575247573509,20.53,0.2053,1142,0.053559829190106906,11.42,0.1142,1299,0.06092313320310759,12.99,0.1299,0,0.0,0.0,0.0,482141,22.612425223771748,4821.41,48.2141,43,0.002016701099102099,0.43,0.0043,66355,3.112051196067902,663.55,6.6355,0,0.0,0.0,0.0,100.0
Indonesia,Bromo Tengger Semeru,Taman Nasional,504.937383102169,Federal or national ministry or agency,,5964108,4691781,78.66693560881191,46917.81,469.1781,13,0.0002179705665960442,0.13,0.0013,954324,16.001118692015638,9543.24,95.4324,11943,0.20024788283511968,119.43,1.1943,6086,0.10204375910027115,60.86,0.6086,295828,4.960138213459582,2958.28,29.5828,0,0.0,0.0,0.0,4133,0.06929787321088082,41.33,0.4133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
Indonesia,Rawa Dano,Cagar Alam,39.5037444429431,Federal or national ministry or agency,,464739,310919,66.90185243760476,3109.19,31.0919,40,0.008606981553086786,0.4,0.004,57395,12.349942655985402,573.95,5.7395,96053,20.668159977966127,960.53,9.6053,50,0.010758726941358482,0.5,0.005,7,0.0015062217717901876,0.07,0.0007,0,0.0,0.0,0.0,245,0.052717762012656565,2.45,0.0245,30,0.006455236164815089,0.3,0.003,0,0.0,0.0,0.0,0,0.0,0.0,0.0,99.99999999999999
Indonesia,Kawah Ijen,Cagar Alam,25.9135055958287,Federal or national ministry or agency,,306097,170575,55.72579933811831,1705.75,17.0575,0,0.0,0.0,0.0,128444,41.96186176277455,1284.44,12.8444,303,0.09898822922145595,3.03,0.0303,1493,0.4877538819393852,14.93,0.1493,5142,1.6798596523324307,51.42,0.5142,0,0.0,0.0,0.0,140,0.04573713561387403,1.4,0.014,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,99.99999999999999
Indonesia,Leuwang Sancang,Cagar Alam,33.2909839013637,Federal or national ministry or agency,,392961,259269,65.97830319039294,2592.69,25.9269,21,0.005344041775137991,0.21,0.0021,5823,1.4818264407918342,58.23,0.5823,7317,1.862016841365937,73.17,0.7317,556,0.1414898679512725,5.56,0.0556,1376,0.35016197536142263,13.76,0.1376,0,0.0,0.0,0.0,117566,29.91798168266062,1175.66,11.7566,1033,0.2628759597008355,10.33,0.1033,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100.0
