Name,DESIG,GIS_AREA,GOV_TYPE,MANG_AUTH_SUB_LOC,Total Valid Pixel Count,Count_10,Percentage_10,Area_10_ha,Area_10_km2,Count_20,Percentage_20,Area_20_ha,Area_20_km2,Count_30,Percentage_30,Area_30_ha,Area_30_km2,Count_40,Percentage_40,Area_40_ha,Area_40_km2,Count_50,Percentage_50,Area_50_ha,Area_50_km2,Count_60,Percentage_60,Area_60_ha,Area_60_km2,Count_70,Percentage_70,Area_70_ha,Area_70_km2,Count_80,Percentage_80,Area_80_ha,Area_80_km2,Count_90,Percentage_90,Area_90_ha,Area_90_km2,Count_95,Percentage_95,Area_95_ha,Area_95_km2,Count_100,Percentage_100,Area_100_ha,Area_100_km2
Gunung Leuser,National Park,8700.95977638285,Federal or national ministry or agency,,101337758,99962239,11488.65,999622.39,9996.2239,1793,0.21,17.93,0.1793,1271047,146.08,12710.47,127.1047,13389,1.54,133.89,1.3389,6444,0.74,64.44,0.6444,49527,5.69,495.27,4.9527,0,0.0,0.0,0.0,33092,3.8,330.92,3.3092,227,0.03,2.27,0.0227,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bukit Barisan Selatan,Taman Nasional,3156.60098345164,Federal or national ministry or agency,,37077117,36306884,11501.89,363068.84,3630.6884,2,0.0,0.02,0.0002,676795,214.41,6767.95,67.6795,29407,9.32,294.07,2.9407,6696,2.12,66.96,0.6696,5298,1.68,52.98,0.5298,0,0.0,0.0,0.0,36273,11.49,362.73,3.6273,911,0.29,9.11,0.0911,14851,4.7,148.51,1.4851,0,0.0,0.0,0.0
Berbak,Taman Nasional,1413.47479912924,Federal or national ministry or agency,,16540767,14515225,10269.18,145152.25,1451.5225,770319,544.98,7703.19,77.0319,1104765,781.6,11047.65,110.4765,66492,47.04,664.92,6.6492,108,0.08,1.08,0.0108,632,0.45,6.32,0.0632,0,0.0,0.0,0.0,6386,4.52,63.86,0.6386,72163,51.05,721.63,7.2163,4677,3.31,46.77,0.4677,0,0.0,0.0,0.0
Kutai,Taman Nasional,1926.34388062811,Federal or national ministry or agency,,21635959,20403934,10592.05,204039.34,2040.3934,8106,4.21,81.06,0.8106,431983,224.25,4319.83,43.1983,23255,12.07,232.55,2.3255,5686,2.95,56.86,0.5686,1868,0.97,18.68,0.1868,0,0.0,0.0,0.0,19843,10.3,198.43,1.9843,2046,1.06,20.46,0.2046,739238,383.75,7392.38,73.9238,0,0.0,0.0,0.0
Kerumutan,Suaka Margasatwa,946.94213345147,Federal or national ministry or agency,,7393393,7302119,7711.26,73021.19,730.2119,9871,10.42,98.71,0.9871,46583,49.19,465.83,4.6583,2177,2.3,21.77,0.2177,0,0.0,0.0,0.0,251,0.27,2.51,0.0251,0,0.0,0.0,0.0,11588,12.24,115.88,1.1588,20804,21.97,208.04,2.0804,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bali Barat,Taman Nasional,180.463592177362,Federal or national ministry or agency,,2132195,1563716,8664.99,15637.16,156.3716,2,0.01,0.02,0.0002,15444,85.58,154.44,1.5444,2053,11.38,20.53,0.2053,1142,6.33,11.42,0.1142,1299,7.2,12.99,0.1299,0,0.0,0.0,0.0,482141,2671.68,4821.41,48.2141,43,0.24,0.43,0.0043,66355,367.69,663.55,6.6355,0,0.0,0.0,0.0
Bromo Tengger Semeru,Taman Nasional,504.937383102169,Federal or national ministry or agency,,5964108,4691781,9291.81,46917.81,469.1781,13,0.03,0.13,0.0013,954324,1889.98,9543.24,95.4324,11943,23.65,119.43,1.1943,6086,12.05,60.86,0.6086,295828,585.87,2958.28,29.5828,0,0.0,0.0,0.0,4133,8.19,41.33,0.4133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rawa Dano,Cagar Alam,39.5037444429431,Federal or national ministry or agency,,464739,310919,7870.62,3109.19,31.0919,40,1.01,0.4,0.004,57395,1452.9,573.95,5.7395,96053,2431.49,960.53,9.6053,50,1.27,0.5,0.005,7,0.18,0.07,0.0007,0,0.0,0.0,0.0,245,6.2,2.45,0.0245,30,0.76,0.3,0.003,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kawah Ijen,Cagar Alam,25.9135055958287,Federal or national ministry or agency,,306097,170575,6582.47,1705.75,17.0575,0,0.0,0.0,0.0,128444,4956.64,1284.44,12.8444,303,11.69,3.03,0.0303,1493,57.61,14.93,0.1493,5142,198.43,51.42,0.5142,0,0.0,0.0,0.0,140,5.4,1.4,0.014,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Leuwang Sancang,Cagar Alam,33.2909839013637,Federal or national ministry or agency,,392961,259269,7787.96,2592.69,25.9269,21,0.63,0.21,0.0021,5823,174.91,58.23,0.5823,7317,219.79,73.17,0.7317,556,16.7,5.56,0.0556,1376,41.33,13.76,0.1376,0,0.0,0.0,0.0,117566,3531.47,1175.66,11.7566,1033,31.03,10.33,0.1033,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Panua,Cagar Alam,365.976063062547,Federal or national ministry or agency,,4281673,4202494,11482.98,42024.94,420.2494,73,0.2,0.73,0.0073,41307,112.87,413.07,4.1307,2037,5.57,20.37,0.2037,79,0.22,0.79,0.0079,1189,3.25,11.89,0.1189,0,0.0,0.0,0.0,3034,8.29,30.34,0.3034,106,0.29,1.06,0.0106,31354,85.67,313.54,3.1354,0,0.0,0.0,0.0
Gunung Celering,Cagar Alam,13.4886503595426,Federal or national ministry or agency,,158784,156530,11604.57,1565.3,15.653,0,0.0,0.0,0.0,2254,167.1,22.54,0.2254,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
